,Time,Desc,img,day,month
4572,"JANUARY 24, 2018","myogi_adityanath
Verified
दुनिया में भारत की पहचान जिन नामों से होती हैं, उनमें भगवान बुद्ध भी एक हैं। भगवान बुद्ध से जुड़े हुए 6 प्रमुख स्थल उत्तर प्रदेश में हैं: #UPCM श्री #YogiAdityanath #ODOP #UPDiwas
267w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/26154901_142073919803925_709802010622296064_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=109&_nc_ohc=jtI5SSgk470AX_kJF0h&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY5OTMzNjU2Mjk5Mzk4NTk4MA%3D%3D.2-ccb7-5&oh=00_AfCE1x8pNS8iVK09uvpw5n9Sq3N6MCOM529ljnNZg30pMA&oe=64133541&_nc_sid=6136e7,24,January
4732,"DECEMBER 23, 2017","myogi_adityanath
Verified
उत्तर प्रदेश कौशल विकास मिशन के अंतर्गत लखनऊ के आलमबाग, अलीगंज और गोरखपुर में मौजूद आशा ज्योति केंद्र का ई-उद्घाटन किया।
272w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/25024167_1466210930113758_6604815950627733504_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=aymYkjjTmQkAX_K45ZS&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY3NjM0MzMxMjg5Mjg1NTczNA%3D%3D.2-ccb7-5&oh=00_AfBf2eUNeY46UXmDM1wJKRDKnanuA6K-faghiNgTD7U-qg&oe=64139DA1&_nc_sid=6136e7,23,December
815,"FEBRUARY 12, 2022","bjp4up
Verified
पूरा यूपी जनता है, आएंगे तो योगी ही... 🔥

#आएंगे_तो_योगी_ही #आएगी_भाजपा_ही #bjp4up #uttarpradesh #यूपी_फिर_मांगे_भाजपा_सरकार #upelection2022 #yogiadityanath #जनता_की_हुंकार_भाजपा_सरकार #योगी_है_उपयोगी
56w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/273775062_2163607063790192_2437590810634973280_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=108&_nc_ohc=uWKuZnJn3dsAX--men2&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjc3MjE2NzQxOTkyODQ2NTM4Ng%3D%3D.2-ccb7-5&oh=00_AfByv6lRcAXIAk7lJMzpCPrryVq7CcEHvhLXo5PWaMUS3A&oe=6413891B&_nc_sid=6136e7,12,February
543,"MAY 30, 2022","bjp4up
Verified
मोदी सरकार के 8 वर्षों में 200% बढ़ी हाईवे निर्माण की रफ़्तार!

#8YearsOfSeva
40w
See translation
_aman_.patel_
HAR HAR MODI😍
40wReply
See translation
sujeetkumar.jha.31
और गाउ का रोड
40wReply
iam_ankit_shrivastav
Rojgar kahan per hai
40wReply
See translation
sandeepmaurya0
kabhi hamre yhaa aao or dekho rod or Mera ghar kesa hai kisi gareeb ki clony tak nhi mili bas rod bnate raho yha galiya sari gharab pdi hai
40wReply
See translation
View replies (2)
sandeepmaurya0
jisme colony bhi aaye
40wReply
See translation
sandeepmaurya0
koi no ho to do
40wReply
See translation
itz2rishi
Raftaar badhane me 8 saal lag gaye
40wReply
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/285054633_1238284026708992_5598720274561248980_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=108&_nc_ohc=b3ukZn4u5pkAX-mq8ka&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjg0OTU0MjkyMzc5NzMwOTg5Mw%3D%3D.2-ccb7-5&oh=00_AfDjCcvu79upPVTiia_lo1nCX9IucTYpfj7NGJiwx5_c4w&oe=6412DD96&_nc_sid=6136e7,30,May
4664,"JANUARY 6, 2018","myogi_adityanath
Verified
आज केंद्रीय विदेश राज्य मंत्री जनरल (रिटायर्ड) वी.के सिंह से उनके आवास पर नई दिल्ली में मुलाकत की।
270w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/26185902_1753907931327872_4717087668377223168_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=108&_nc_ohc=dCon9KzvzjUAX9uMvrh&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY4NjQ0Mjc1OTcwMjMxODAzMg%3D%3D.2-ccb7-5&oh=00_AfBFL6u4-4elvCkIKZbIwoaTOSukthMl5e-7aWoHMoMvTA&oe=6414374A&_nc_sid=6136e7,6,January
4895,"NOVEMBER 19, 2017","myogi_adityanath
Verified
आज लखनऊ नगर निगम के चुनाव को लेकर ई-ब्लॉक राजाजीपुरम में विशाल जनसभा को संबोधित किया।
277w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/23595922_1882814145066966_2685958524126625792_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Jx0VCge25aIAX-r1mhY&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY1MTYyNDYyNDIwNjA3MzQwNA%3D%3D.2-ccb7-5&oh=00_AfDoCGYmOa-Nh_iLMhG4QtPAj46rh21hhE64UNpI2BPrdQ&oe=6413DCE1&_nc_sid=6136e7,19,November
483,"JUNE 2, 2022","bjp4up
Verified
देश के महानायकों को दी सच्ची श्रद्धांजलि

स्टैच्यू ऑफ यूनिटी के रूप में लौह पुरुष सरदार पटेल की प्रतिमा का अनावरण

बाबा साहेब अंबेडकर के जीवन से जुड़े प्रमुख स्थलों को पंथतीर्थ के रूप में विकसित किया

#8YearsOfPreservingCulture
40w
See translation
rakeshdubey5735
💐💐💐🙏🙏🙏🙏🙏💐💐💐
40wReply
shanusinghshrinet_1998
👏👏👏
40wReply",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/285272063_390606746397240_901638789147045365_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=Zx8K5icLTjYAX_LzuZC&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjg1MTgxMDU1Nzg5NzU2NzU5Mg%3D%3D.2-ccb7-5&oh=00_AfAN9WA_ax9DZ7woDap02fr57FQsqfVnRWIcCn6sNdJ4oA&oe=64140E4E&_nc_sid=6136e7,2,June
4918,"NOVEMBER 14, 2017","myogi_adityanath
Verified
आज लखनऊ स्थित सरकारी आवास पर नीदरलैण्ड्स गणराज्य के राजदूत श्री @FonsStoelinga जी ने भेंट की, राजदूत के साथ आए प्रतिनिधिमण्डल में लगभग 15 उद्योगों के प्रतिनिधि सम्मिलित थे।
277w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/23594835_501066123598687_6819897853998006272_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=cWhqKuh-gKEAX87qQaJ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY0Nzk4MzM3MjEwNTM2NTY2NA%3D%3D.2-ccb7-5&oh=00_AfBU8n31DugOaN4lauEVbJt7g3gzXqL0T1-y_Y4WKPqYTQ&oe=641342E6&_nc_sid=6136e7,14,November
756,"FEBRUARY 24, 2022","bjp4up
Verified
गोंडा के विकास के लिए प्रतिबद्ध है भाजपा सरकार...

#development #infrastructure #uttarpradesh #upelection2022 #BJPWinningUP #bjp4up #आएंगे_फिर_योगी_ही #आएगी_बीजेपी_ही
54w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/274591902_465486018385899_2035048461175770539_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=TQ7-GjYW9hIAX_YiR3g&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjc4MDYxMjgwOTkyMDA1ODgzMA%3D%3D.2-ccb7-5&oh=00_AfAPwkslVDkabooIgmeegUNwmcYlrd9K3W27_uGgVoi-Tg&oe=64149FDB&_nc_sid=6136e7,24,February
653,"APRIL 9, 2022","bjp4up
Verified
समरसता सप्ताह के अंतर्गत प्रदेश भर में पार्टी कार्यकर्ताओं द्वारा किए जा रहे सेवा कार्य।

#SamajikNyay
48w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/278013735_173717335011062_2313725000919450499_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=aCLZZqKrSfMAX-KFvB-&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjgxMjY4Mzk0NTA1MDUwMDA3NQ%3D%3D.2-ccb7-5&oh=00_AfBeJCDRi5PHAeu_jSij43GOSVK_HJ3glay1EHuj0LuweQ&oe=64140ECB&_nc_sid=6136e7,9,April
520,"MAY 30, 2022","bjp4up
Verified
पूर्वोत्तर की संस्कृति को मिला उचित सम्मान और बढ़ावा।

#8YearsOfSeva
40w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/284900294_555404812771978_837619440261379379_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=4iEgdurWHGoAX-eMsCS&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjg0OTY4ODg5MjIyMDI4OTA3Mw%3D%3D.2-ccb7-5&oh=00_AfBSe1OJ4ooY9MtlDIQN6lZwdnOMt0AYZMCy1sx2iZaJMQ&oe=6412E7FF&_nc_sid=6136e7,30,May
712,"MARCH 4, 2022","bjp4up
Verified
काशीवासियों के साथ चाय पर चर्चा...

#मोदीमय_काशी #काशी #वाराणसी
53w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/275223140_482932303331342_6996553272946468354_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=cpKe2tPIprIAX_MeNXn&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjc4NjU4ODkzMDUyMDkzMTQ5Mg%3D%3D.2-ccb7-5&oh=00_AfAxJz2QMTxYHED_zWVddMtNAhwZXsjsOM5uMqefGpWCOg&oe=6413C239&_nc_sid=6136e7,4,March
4681,"JANUARY 3, 2018","myogi_adityanath
Verified
आज उनके सरकारी आवास पर केंद्रीय राज्य आवासन एवं शहरी कार्य मंत्री श्री हरदीप सिंह पुरी ने भेंट की।
270w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/26068399_510925592624402_1637535661185564672_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=IsW3qzQW660AX_4hpgo&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY4NDI2MTM4MzMxNzcyMTA2MQ%3D%3D.2-ccb7-5&oh=00_AfAfSeVmRZDxkuoZUkXuhJMsZOzK74erf292wIg--dNplg&oe=64140F94&_nc_sid=6136e7,3,January
4486,"FEBRUARY 3, 2018","myogi_adityanath
Verified
सूरजकुंड, (फरीदाबाद) हरियाणा में उत्तर प्रदेश और हरियाणा सरकार के बीच पारस्परिक परिवहन अनुबंध हस्ताक्षरण समारोह में।
266w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/26864451_1586526988126246_3746519484337225728_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=eF1iyumu9zAAX99oN2P&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTcwNjQ1ODgzOTgyNDg1ODUwNg%3D%3D.2-ccb7-5&oh=00_AfAvMRC0jQBuWfGV0K9NV3UH003xaVYKJk6AX_3OgIRqUw&oe=64146248&_nc_sid=6136e7,3,February
4349,"MARCH 8, 2018","myogi_adityanath
Verified
अंतर्राष्ट्रीय महिला दिवस के अवसर पर महिला ग्राम प्रधानों एवं स्वच्छाग्रहियों के सम्मेलन 'स्वच्छ शक्ति-2018' में महिला ग्राम प्रधानों और स्वच्छाग्रहियों को सम्मानित किया।#NariShakti4NewIndia
261w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/28427520_750576068485758_7581930953317023744_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=EIi3kozZ2noAX8K4e9R&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTczMDQ3MjA1NTQxMDkxNjc1MQ%3D%3D.2-ccb7-5&oh=00_AfD2LxAtTBtRzkr3d0Lx2duUjBwsC4lVPVpBswY7WTyEaQ&oe=6414C01B&_nc_sid=6136e7,8,March
718,"MARCH 3, 2022","bjp4up
Verified
आजमगढ़ के विकास हेतु प्रतिबद्ध भाजपा सरकार...

#azamgarh #यूपी_फिर_मांगे_भाजपा_सरकार #bjp4up #BJPWinningUP #मेरा_वोट_भाजपा_को #पूर्वांचल_में_कमल #आएंगे_फिर_योगी_ही #आएगी_तो_बीजेपी_ही #VoteForYogi
53w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/275131352_1048286326086514_6494021732284816563_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=6k7yTudOLJsAX_PxzrE&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjc4NTcwNTQ3OTc4MTY5MTM0MA%3D%3D.2-ccb7-5&oh=00_AfApMyJesf53nzg5c7GQQXMf2uYwNxSKSkvFcVpNTszZSQ&oe=641439C0&_nc_sid=6136e7,3,March
